creator,video_title,link,upload_date,period,food_type,portion_size,views,food_quantity,calories
ErikTheElectric,"""I Survived The World's Heaviest People's Diets for 7 Days""",https://www.youtube.com/watch?v=LkNO9erQ82Y,"Aug 9, 2025",recent,various,extreme,"11,770,897",,
ErikTheElectric,"""I Let AI Control Every Meal for Two Weeks""",https://www.youtube.com/watch?v=i3q5uZmvky8&t=3708s,"Jan 17, 2026",recent,various,extreme,"4,254,893",,
Matt Stonie,"""128oz - Gallon Gatorade Chug in 37 Seconds.""",https://www.youtube.com/watch?v=maJQdjY4wz4,"Aug 27, 2012",early,gatorade,extreme,"3,193,412",1 gallon of gatorade,900
Matt Stonie,"""KFC 20 Piece Bucket Eating Challenge""",https://www.youtube.com/watch?v=fnpa28d9zd4,"Aug 27, 2012",early,fried chicken,extreme,"3,867,305",20 pieces of kfc fried chicken,"5,000"
Matt Stonie,"""Mc Rib Eating Challenge""",https://www.youtube.com/watch?v=R57_oQjvaWQ,"Aug 29, 2012",early,sandwiches,extreme,"1,392,724",5.5 McRibs,"2,860"
Matt Stonie,"""100 Potstickers in 101 Seconds""",https://www.youtube.com/watch?v=Ln_PiCCid64,"Aug 30, 2012",early,potstickers,extreme,"775,635",100 chicken gyoza,"5,000"
Matt Stonie,"""Eating Mayonnaise for Subscribers""",https://www.youtube.com/watch?v=Gva4zNscgig,"Sep 2, 2012",early,mayonnaise,extreme,"818,708",30 oz of mayonnaise,"6,000"
Matt Stonie,"""10lb (4.5kg) Baked Bean Eating Challenge""",https://www.youtube.com/watch?v=Nua4zYBg_LA,"Sep 3, 2012",early,baked beans,extreme,"591,460",10 lb baked beans,"6,000"
Matt Stonie,"""1+Lb Raw Onion Eating Challenge""",https://www.youtube.com/watch?v=gBJzjSo9jq8,"Sep 7, 2012",early,onion,medium,"313,393",511g sweet onion,200
Matt Stonie,"""22 Jell-O Cups Eaten in 50 Sec - (Ep1. 60 Second Series)""",https://www.youtube.com/watch?v=2dTYWINAVtg,"Sep 8, 2012",early,jell-o,medium,"428,063",22 cups of jell-o,"1,500"
Matt Stonie,"""125 Cupcake Challenge (12,083 Calories)""",https://www.youtube.com/watch?v=42ZE4DCJkEo,"Apr 30, 2018",mid,cupcakes,extreme,"6,375,054",125 cupcakes,"12,083"
Matt Stonie,"""Matt Stonie vs 1 MASSIVE Slice of Pizza""",https://www.youtube.com/watch?v=rvaYl7mr1C8,"May 6, 2018",mid,pizza,extreme,"48,141,704",28-inch pizza,"9,000 (estimate)"
Matt Stonie,"""10,000 Calorie Baconator Challenge!! (11 Burgers)""",https://www.youtube.com/watch?v=0lr497GhD04,"May 14, 2018",mid,burgers,extreme,"6,196,721",11 wendy's bacontor sandwiches,"10,450"
Matt Stonie,"""GIANT Bowl of Lucky Charms CHALLENGE (5,000+ Calories)""",https://www.youtube.com/watch?v=XdNOI-q70q4,"May 22, 2018",mid,cereal,extreme,"4,089,485",huge bowl of lucky charms cereal,"5,000+"
Matt Stonie,"""Jollibee Five (5) Bucket Fried Chicken Challenge""",https://www.youtube.com/watch?v=AH-asCzo8kw,"Jun 18, 2018",mid,fried chicken,extreme,"27,941,125",5 buckets of fried chicken,"11,400"
Matt Stonie,"""500g Raw Broccoli Challenge DESTROYED""",https://www.youtube.com/watch?v=ujX-StFvFdY,"Jul 10, 2018",mid,broccoli,large,"4,437,930",500g of raw broccoli,160
